CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
344001	0	Ankle region structure (body structure)	Xa9oN	T-D9500	1
485005	0	Transverse colon structure (body structure)	7N313	T-59440	1
528006	0	Structure of costal surface of lung (body structure)	XUFrs	T-28001	1
661005	0	Jaw region structure (body structure)	XaA1q	T-D1213	1
741007	0	Operation on prostate (procedure)	XUK54	P1-78000	0
774007	0	Head and neck structure (body structure)	Xa1gI	T-D1000	1
928000	0	Disorder of musculoskeletal system (disorder)	XE1DD	D1-00000	0
955009	0	Bronchial structure (body structure)	Xa0v9	T-26000	1
1040005	0	Anterior open dislocation (morphologic abnormality)	XU13a	M-13201	1
1086007	0	Female structure (body structure)	XU2AO	T-D0AA0	1
1201005	0	Benign essential hypertension (disorder)	G201.	D3-02120	1
1490004	0	Structure of soft tissues of trunk (body structure)	XU7uJ	T-D2050	1
1893007	0	Joint structure of shoulder girdle or upper limb (body structure)	Xa1Q0	T-15400	1
2033006	0	Structure of right fallopian tube (body structure)	XU9Lw	T-88010	0
2052000	0	Acute necrosis (morphologic abnormality)	XU9P7	M-54001	1
2095001	0	Nasal sinus structure (body structure)	Xa17d	T-22000	1
2255006	0	Subserosa (body structure)	XU9oK	T-1A111	1
2667000	0	Absent (qualifier value)	X80xh	G-A204	1
2704003	0	Acute disease (disorder)	XUAhT	DF-00001	0
2919008	0	Nausea, vomiting and diarrhea (disorder)	XUB8A	F-52850	1
2935001	0	Poisoning by antiasthmatic (disorder)	SLF7.	DD-82750	1
2969000	0	Body space structure (body structure)	XS0v0	T-D0090	1
3092008	0	Staphylococcus aureus (organism)	X73Et	L-24801	1
3525006	0	Humidity (physical force)	Xa3DJ	A-80240	1
3711007	0	Structure of great blood vessel (organ) (body structure)	XUCho	T-40330	1
3855007	0	Disorder of pancreas (disorder)	J67..	D5-90000	0
4147007	0	Mass (morphologic abnormality)	XUDd6	M-03000	1
4180000	0	Both lower extremities (body structure)	XUDhG	T-D9080	1
4421005	0	Cell structure (cell structure)	XS1CR	T-E0000	1
4527007	0	Joint structure of lower extremity (body structure)	XaAtR	T-15700	1
4532008	0	Acute inflammation (morphologic abnormality)	XUEOM	M-41000	1
4908009	4	History of (situation)	XUSsW	G-0003	1
5008001	0	Pitting edema (morphologic abnormality)	XUFKC	M-36304	1
5137004	0	Recurrent dislocation of joint (disorder)	XE1E4	D1-22360	0
5383004	4	Fracture-dislocation (morphologic abnormality)	XaDuh	M-12670	1
5668004	0	Lower gastrointestinal tract structure (body structure)	Xa1G7	T-50120	1
5880005	0	Physical examination procedure (procedure)	XB001	P2-01400	0
5913000	0	Fracture of neck of femur (disorder)	XE1l3	DD-13110	0
6076005	0	Structure of gastrointestinal subserosa (body structure)	XUHR5	T-50136	1
6142004	0	Influenza (disorder)	H27..	DE-34010	0
6574001	0	Necrosis (morphologic abnormality)	XUIPo	M-54000	1
6685009	0	Structure of right ankle (body structure)	XUIdf	T-D9510	0
6834003	0	Axial skeleton structure (body structure)	XU8pa	T-11010	1
7087005	0	Intermittent (qualifier value)	X78tj	G-A397	1
7523003	0	Injury of thigh (disorder)	Xa2Cz	DD-00510	0
7571003	0	Feeling guilt (finding)	X762y	F-92650	1
7704007	0	Stabilizing appliance, device (physical object)	XUKec	A-12200	1
7771000	0	Left (qualifier value)	7NB32	G-A101	1
7878000	0	Accidental death (event)	XUL00	DF-D0300	0
7890003	0	Contracture of joint (disorder)	N084.	D1-22370	0
7895008	0	Poisoning by drug AND/OR medicinal substance (disorder)	XM0xj	DD-82900	0
7906001	0	Open traumatic dislocation (morphologic abnormality)	XUL3Y	M-13200	1
8279000	0	Structure of pelvic viscus (body structure)	XULmz	T-D6100	1
8609009	0	Traumatic agent (physical force)	XUMUV	A-00020	1
8613002	0	Operation on appendix (procedure)	770..	P1-57062	0
8745002	0	Gram-positive bacterium (organism)	Xa852	L-10017	1
9121000	0	Excision of lesion of large intestine (procedure)	XUNX6	P1-57320	0
9656002	0	Consolidation (morphologic abnormality)	XUOjM	M-02713	1
10024003	0	Structure of base of lung (body structure)	XU04B	T-280B0	1
10052007	0	Male structure (body structure)	XU096	T-D0AB0	1
10147004	0	Fly (organism)	XU0Pf	L-60010	1
10200004	0	Liver structure (body structure)	XM0Ps	T-62000	1
10668002	0	Skin anti-infective (product)	XU1ju	C-90201	1
10725009	0	Benign hypertension (disorder)	XU1tv	D3-02010	1
10849003	0	Removal of foreign body (procedure)	XU28p	P1-03176	0
11281008	0	Precerebral artery (body structure)	XU3B0	T-45500	1
11527006	0	Arterial system structure (body structure)	XS0gT	T-41800	1
11639007	0	Puncture (morphologic abnormality)	XaBTs	M-14300	1
11705000	0	Ribonucleic acid virus (organism)	X73kI	L-30001	1
11810009	0	Operation on male genital system (procedure)	7C...	P1-76000	0
11891009	0	Breath (substance)	XU4kS	T-20400	1
12402003	0	Scar (morphologic abnormality)	XU66S	M-78060	1
12535006	0	Acquired absence (morphologic abnormality)	XU6SU	M-16000	1
12745006	0	Operative procedure on pelvis (procedure)	XU6yq	P1-14020	0
12921003	0	Pelvic structure (body structure)	Xa1gg	T-D6000	1
12953007	0	File, device (physical object)	XU7Pp	A-45580	1
13136005	0	Injection site (morphologic abnormality)	XU7Sl	M-14380	1
13321001	0	Fracture, comminuted (morphologic abnormality)	Zw027	M-12090	1
13648007	0	Urethral structure (body structure)	XM0Q0	T-75000	1
13924000	0	Wound (morphologic abnormality)	XU7fy	M-14000	1
13975002	0	Open dislocation of glenohumeral joint (disorder)	XU7gs	DD-14510	0
14016003	0	Bone marrow structure (body structure)	XaEko	T-C1000	1
14319004	4	Local anti-infective (product)	XU7lz	C-90200	1
14443002	0	Aminoglycoside -class of antibiotic- (substance)	XU7no	C-52500	1
14559000	0	Structure of apex of left lung (body structure)	XU7pV	T-28510	0
14679004	0	Occupation (occupation)	0....	J-00000	1
14734007	0	Administrative procedure (procedure)	Xa22i	P0-00100	1
14742008	0	Large intestinal structure (body structure)	Xa1Fv	T-59000	1
14766002	0	Aspiration (procedure)	XU7sK	P1-03130	0
14789005	0	Prosthetic implant, device (physical object)	X79lc	A-04020	1
14861000	0	Operation on bladder (procedure)	XU7to	P1-74010	0
15220000	0	Laboratory test (procedure)	X7A0B	P3-00030	1
15240007	0	Current (qualifier value)	XU7zZ	G-7210	1
15425007	0	Peritoneum (serous membrane) structure (body structure)	7N812	T-D4400	1
15447007	0	Joint prosthesis, device (physical object)	Xa1w9	A-04430	1
15672000	0	Structure of superficial temporal artery (body structure)	XU85Y	T-45270	1
15776009	0	Pancreatic structure (body structure)	XM0Pu	T-65000	1
15825003	0	Aortic structure (body structure)	XM0PZ	T-42000	1
15938005	0	Eclampsia (disorder)	L126.	D8-11250	1
16349000	0	Orthopedic device (physical object)	XU8F9	A-12000	1
16650009	0	Splint, device (physical object)	X79js	A-12220	1
16756008	0	Albuminuria in pregnancy without hypertension (disorder)	XU8Kh	D8-14154	1
16932000	0	Nausea and vomiting (disorder)	Xa1pJ	F-52840	1
16982005	0	Shoulder region structure (body structure)	Xa9Yc	T-D2220	1
17006003	0	Replacement of bladder catheter (procedure)	XU8O9	P1-74530	0
17322007	0	Disease caused by parasite (disorder)	XU8SI	DE-50000	0
17346000	0	Disorder of endocrine pancreas (disorder)	XU8SZ	DB-60000	0
17386008	0	Anti-infective agent (product)	x01Gz	C-52000	1
17398003	0	Structure of left side of heart (body structure)	XS0p8	T-32002	1
17571003	4	Upper urinary tract structure (body structure)	XaDwq	T-70010	1
17788007	0	Acute myeloid leukemia, no ICD-O subtype (morphologic abnormality)	BBr61	M-98613	1
18151003	0	Punch, device (physical object)	X90es	A-14020	1
18307000	0	Altered (qualifier value)	XU8eY	G-A532	1
